Fevals,Best,Current,Mean range,Temperature
150,0.5990714638379133,-0.49548297103055017,1.0,1.5848931924611136
151,0.5990714638379133,-0.484895088835994,1.0,1.5848931924611136
152,0.5990714638379133,-0.5398909207069134,1.0,1.5848931924611136
153,0.5990714638379133,-0.5420443254563749,1.0,1.5848931924611136
154,0.5990714638379133,-0.5508624671639821,1.0,1.5848931924611136
155,0.5990714638379133,-0.5666462087009786,1.0,1.5848931924611136
156,0.5990714638379133,-0.5584184344411854,1.0,1.5848931924611136
157,0.5990714638379133,-0.5578827298631861,1.0,1.5848931924611136
158,0.5990714638379133,-0.5323996891158617,1.0,1.5848931924611136
159,0.5990714638379133,-0.4903280495575382,1.0,1.5848931924611136
160,0.5990714638379133,-0.4854877955579047,1.0,1.5848931924611136
161,0.5990714638379133,-0.47523813606589366,1.0,1.5848931924611136
162,0.5990714638379133,-0.5357059077033041,1.0,1.5848931924611136
163,0.5990714638379133,-0.539590338344628,1.0,1.5848931924611136
164,0.5990714638379133,-0.5363653443395285,1.0,1.5848931924611136
165,0.5990714638379133,-0.5154592840629622,1.0,1.5848931924611136
166,0.5990714638379133,-0.5601929433279366,1.0,1.5848931924611136
167,0.5990714638379133,-0.5701675828168052,1.0,1.5848931924611136
168,0.5990714638379133,-0.5591366850348426,1.0,1.5848931924611136
169,0.5990714638379133,-0.5542530380510395,1.0,1.5848931924611136
170,0.5990714638379133,-0.5627517709654474,1.0,1.5848931924611136
171,0.5990714638379133,-0.5379949223707206,1.0,1.5848931924611136
172,0.5990714638379133,-0.5535182459743541,1.0,1.5848931924611136
173,0.5990714638379133,-0.5698976949823888,1.0,1.5848931924611136
174,0.5990714638379133,-0.568925734487526,1.0,1.5848931924611136
175,0.5990714638379133,-0.5270905624253718,1.0,1.5848931924611136
176,0.5990714638379133,-0.530427428921417,1.0,1.5848931924611136
177,0.5990714638379133,-0.47421554364296425,1.0,1.5848931924611136
178,0.5990714638379133,-0.5044155043156584,1.0,1.5848931924611136
179,0.5990714638379133,-0.5468558440653803,1.0,1.5848931924611136
180,0.5990714638379133,-0.5521903609048902,1.0,1.5848931924611136
181,0.5992710022539655,-0.5992710022539655,1.0,0.6309573444801934
182,0.5992710022539655,-0.5571562686674575,1.0,0.6309573444801934
183,0.5992710022539655,-0.564580160978108,1.0,0.6309573444801934
184,0.5992710022539655,-0.5559527777843476,1.0,0.6309573444801934
185,0.5992710022539655,-0.5410387335499022,1.0,0.6309573444801934
186,0.5992710022539655,-0.4350382730573132,1.0,0.6309573444801934
187,0.5992710022539655,-0.41927687042159134,1.0,0.6309573444801934
188,0.5992710022539655,-0.42138236827181286,1.0,0.6309573444801934
189,0.5992710022539655,-0.4175943841013851,1.0,0.6309573444801934
190,0.5992710022539655,-0.5254312877095397,1.0,0.6309573444801934
191,0.5992710022539655,-0.5303499435098783,1.0,0.6309573444801934
192,0.5992710022539655,-0.5466428794920334,1.0,0.6309573444801934
193,0.5992710022539655,-0.4987947503590033,1.0,0.6309573444801934
194,0.5992710022539655,-0.49789892367802413,1.0,0.6309573444801934
195,0.5992710022539655,-0.46826571534787176,1.0,0.6309573444801934
196,0.5992710022539655,-0.48961126090142987,1.0,0.6309573444801934
197,0.5992710022539655,-0.4831878671609109,1.0,0.6309573444801934
198,0.5992710022539655,-0.567773439526259,1.0,0.6309573444801934
199,0.5992710022539655,-0.5647352933981201,1.0,0.6309573444801934
200,0.5992710022539655,-0.5555255556471153,1.0,0.6309573444801934
201,0.5992710022539655,-0.5445571263091019,1.0,0.6309573444801934
202,0.5992710022539655,-0.48670760923696715,1.0,0.6309573444801934
203,0.5992710022539655,-0.4761611366809536,1.0,0.6309573444801934
204,0.5992710022539655,-0.49078943764095617,1.0,0.6309573444801934
205,0.5992710022539655,-0.5013529894402341,1.0,0.6309573444801934
206,0.5992710022539655,-0.4946857403445415,1.0,0.6309573444801934
207,0.5992710022539655,-0.46132763351849115,1.0,0.6309573444801934
208,0.5992710022539655,-0.4634339760658827,1.0,0.6309573444801934
209,0.5992710022539655,-0.5010813017501038,1.0,0.6309573444801934
210,0.5992710022539655,-0.49740539728886574,1.0,0.6309573444801934
211,0.5992710022539655,-0.550248042081004,1.0,0.6309573444801934
212,0.5992710022539655,-0.5515153559966465,1.0,0.6309573444801934
