Gen,Fevals,gbest,Mean Vel.,Mean lbest,Avg. Dist.
1,20,0.6072331313748754,0.3907585295254579,-0.5591858821570515,0.7230554145357653
2,40,0.6173119232770415,0.18086641697894965,-0.5963823157480921,0.5752812440965993
3,60,0.617627672277284,0.1479654451511271,-0.6089888859317889,0.517962398063965
4,80,0.617627672277284,0.13304851829986866,-0.6122274669050429,0.46240713334029876
5,100,0.6208992294231966,0.37128048505693984,-0.6137311300163282,0.4165399746761991
