Gen,Fevals,gbest,Mean Vel.,Mean lbest,Avg. Dist.
1,20,0.608907590285175,0.37510507257507103,-0.5765305285556035,0.7048359423948795
2,40,0.6116445752620939,0.18352116270692767,-0.5961211844556314,0.6502716531355367
3,60,0.6438818959885257,0.2610513321331382,-0.605152273123794,0.6536345937999043
4,80,0.66564434757076,0.1620267503645831,-0.6168946884363377,0.5471944841141677
5,100,0.66564434757076,0.10930851129612527,-0.6293332658962733,0.4843780783906418
