Gen,Fevals,Best,Improvement
2,40,0.5881668633722777,0.005958811876403791
3,60,0.5941256752486815,0.003392242125786038
4,80,0.5975179173744676,0.008347028391646139
5,100,0.6058649457661137,0.0018864879317627148
7,140,0.6077514336978764,0.001688141385827624
