Gen,Fevals,gbest,Mean Vel.,Mean lbest,Avg. Dist.
1,20,0.6055749669276101,0.39079795329773176,-0.5559099605302908,0.703836978494576
2,40,0.6160543633887473,0.17012096870829044,-0.5888845993293829,0.593691520224635
3,60,0.6160543633887473,0.10568033274199351,-0.6002049284807719,0.6020578347102146
4,80,0.6160543633887473,0.09970399218438093,-0.6047557119260161,0.5223212772364151
5,100,0.6160543633887473,0.09912833708439824,-0.6068206904930706,0.5552329728191122
